# Character compiler golden vectors.
# GENERATED by scripts/generate-character-vectors.mjs -- do not edit by hand.
# Tab-separated: seed, age, nominalHeightMeters, then role=x,y,z,scale per bone,
# then morph=value. Floats are fixed to 6 decimals.
seed	age	height	bones	morphs
1	0	0.529796	root=0.000000,0.950000,0.000000,0.280000 spine=0.000000,0.119014,0.000000,1.000000 chest=0.000000,0.138850,0.000000,1.000000 neck=0.000000,0.158685,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.879699 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.075152,0.000000,0.000000,1.000000 foreArmL=0.156086,0.000000,0.000000,1.000000 handL=0.144524,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.075152,0.000000,0.000000,1.000000 foreArmR=-0.156086,0.000000,0.000000,1.000000 handR=-0.144524,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.297564,0.000000,1.000000 footL=0.000000,-0.284038,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.297564,0.000000,1.000000 footR=0.000000,-0.284038,0.000000,1.000000	bodyMass=0.760876 cheekbone=-0.318549 eyeScale=0.339675 jawWidth=0.010122 noseSize=-0.469181
1	5	1.101639	root=0.000000,0.950000,0.000000,0.582222 spine=0.000000,0.119014,0.000000,1.000000 chest=0.000000,0.138850,0.000000,1.000000 neck=0.000000,0.158685,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.420217 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.088284,0.000000,0.000000,1.000000 foreArmL=0.183359,0.000000,0.000000,1.000000 handL=0.169776,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.088284,0.000000,0.000000,1.000000 foreArmR=-0.183359,0.000000,0.000000,1.000000 handR=-0.169776,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.349557,0.000000,1.000000 footL=0.000000,-0.333668,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.349557,0.000000,1.000000 footR=0.000000,-0.333668,0.000000,1.000000	bodyMass=0.760876 cheekbone=-0.318549 eyeScale=0.339675 jawWidth=0.010122 noseSize=-0.469181
1	12	1.513703	root=0.000000,0.950000,0.000000,0.800000 spine=0.000000,0.119014,0.000000,1.000000 chest=0.000000,0.138850,0.000000,1.000000 neck=0.000000,0.158685,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.127820 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.106668,0.000000,0.000000,1.000000 foreArmL=0.221541,0.000000,0.000000,1.000000 handL=0.205130,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.106668,0.000000,0.000000,1.000000 foreArmR=-0.221541,0.000000,0.000000,1.000000 handR=-0.205130,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.422349,0.000000,1.000000 footL=0.000000,-0.403151,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.422349,0.000000,1.000000 footR=0.000000,-0.403151,0.000000,1.000000	bodyMass=0.760876 cheekbone=-0.318549 eyeScale=0.339675 jawWidth=0.010122 noseSize=-0.469181
1	18	1.892128	root=0.000000,0.950000,0.000000,1.000000 spine=0.000000,0.119014,0.000000,1.000000 chest=0.000000,0.138850,0.000000,1.000000 neck=0.000000,0.158685,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.000000 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.121213,0.000000,0.000000,1.000000 foreArmL=0.251751,0.000000,0.000000,1.000000 handL=0.233103,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.121213,0.000000,0.000000,1.000000 foreArmR=-0.251751,0.000000,0.000000,1.000000 handR=-0.233103,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.479942,0.000000,1.000000 footL=0.000000,-0.458126,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.479942,0.000000,1.000000 footR=0.000000,-0.458126,0.000000,1.000000	bodyMass=0.760876 cheekbone=-0.318549 eyeScale=0.339675 jawWidth=0.010122 noseSize=-0.469181
1	40	1.876118	root=0.000000,0.950000,0.000000,0.991538 spine=0.000000,0.119014,0.000000,1.000000 chest=0.000000,0.138850,0.000000,1.000000 neck=0.000000,0.158685,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.000000 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.121213,0.000000,0.000000,1.000000 foreArmL=0.251751,0.000000,0.000000,1.000000 handL=0.233103,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.121213,0.000000,0.000000,1.000000 foreArmR=-0.251751,0.000000,0.000000,1.000000 handR=-0.233103,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.479942,0.000000,1.000000 footL=0.000000,-0.458126,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.479942,0.000000,1.000000 footR=0.000000,-0.458126,0.000000,1.000000	bodyMass=0.760876 cheekbone=-0.318549 eyeScale=0.339675 jawWidth=0.010122 noseSize=-0.469181
2	0	0.457672	root=0.000000,0.950000,0.000000,0.280000 spine=0.000000,0.122000,0.000000,1.000000 chest=0.000000,0.142334,0.000000,1.000000 neck=0.000000,0.162667,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.879699 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.069631,0.000000,0.000000,1.000000 foreArmL=0.144619,0.000000,0.000000,1.000000 handL=0.133906,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.069631,0.000000,0.000000,1.000000 foreArmR=-0.144619,0.000000,0.000000,1.000000 handR=-0.133906,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.247444,0.000000,1.000000 footL=0.000000,-0.236197,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.247444,0.000000,1.000000 footR=0.000000,-0.236197,0.000000,1.000000	bodyMass=0.739571 cheekbone=0.099410 eyeScale=0.297786 jawWidth=-0.250418 noseSize=-0.300980
2	5	0.951667	root=0.000000,0.950000,0.000000,0.582222 spine=0.000000,0.122000,0.000000,1.000000 chest=0.000000,0.142334,0.000000,1.000000 neck=0.000000,0.162667,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.420217 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.081798,0.000000,0.000000,1.000000 foreArmL=0.169888,0.000000,0.000000,1.000000 handL=0.157304,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.081798,0.000000,0.000000,1.000000 foreArmR=-0.169888,0.000000,0.000000,1.000000 handR=-0.157304,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.290680,0.000000,1.000000 footL=0.000000,-0.277467,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.290680,0.000000,1.000000 footR=0.000000,-0.277467,0.000000,1.000000	bodyMass=0.739571 cheekbone=0.099410 eyeScale=0.297786 jawWidth=-0.250418 noseSize=-0.300980
2	12	1.307635	root=0.000000,0.950000,0.000000,0.800000 spine=0.000000,0.122000,0.000000,1.000000 chest=0.000000,0.142334,0.000000,1.000000 neck=0.000000,0.162667,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.127820 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.098831,0.000000,0.000000,1.000000 foreArmL=0.205265,0.000000,0.000000,1.000000 handL=0.190061,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.098831,0.000000,0.000000,1.000000 foreArmR=-0.205265,0.000000,0.000000,1.000000 handR=-0.190061,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.351211,0.000000,1.000000 footL=0.000000,-0.335247,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.351211,0.000000,1.000000 footR=0.000000,-0.335247,0.000000,1.000000	bodyMass=0.739571 cheekbone=0.099410 eyeScale=0.297786 jawWidth=-0.250418 noseSize=-0.300980
2	18	1.634543	root=0.000000,0.950000,0.000000,1.000000 spine=0.000000,0.122000,0.000000,1.000000 chest=0.000000,0.142334,0.000000,1.000000 neck=0.000000,0.162667,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.000000 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.112309,0.000000,0.000000,1.000000 foreArmL=0.233256,0.000000,0.000000,1.000000 handL=0.215978,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.112309,0.000000,0.000000,1.000000 foreArmR=-0.233256,0.000000,0.000000,1.000000 handR=-0.215978,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.399103,0.000000,1.000000 footL=0.000000,-0.380962,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.399103,0.000000,1.000000 footR=0.000000,-0.380962,0.000000,1.000000	bodyMass=0.739571 cheekbone=0.099410 eyeScale=0.297786 jawWidth=-0.250418 noseSize=-0.300980
2	40	1.620713	root=0.000000,0.950000,0.000000,0.991538 spine=0.000000,0.122000,0.000000,1.000000 chest=0.000000,0.142334,0.000000,1.000000 neck=0.000000,0.162667,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.000000 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.112309,0.000000,0.000000,1.000000 foreArmL=0.233256,0.000000,0.000000,1.000000 handL=0.215978,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.112309,0.000000,0.000000,1.000000 foreArmR=-0.233256,0.000000,0.000000,1.000000 handR=-0.215978,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.399103,0.000000,1.000000 footL=0.000000,-0.380962,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.399103,0.000000,1.000000 footR=0.000000,-0.380962,0.000000,1.000000	bodyMass=0.739571 cheekbone=0.099410 eyeScale=0.297786 jawWidth=-0.250418 noseSize=-0.300980
